abate,"কমানো, প্রশমিত করা"
abated,"কমান, মন্দীভূত"
abattoir,কসাইখানা
abbess,"মঠধারিণী, মোহান্ত, মঠাধ্যক্ষ"
abbey,সন্ন্যাসী বা সন্ন্যাসিনীদের মঠ
abbot,"মঠাধ্যক্ষ, মহারাজ"
abbreviate,"ছোটো করে দেওয়া, সংক্ষিপ্ত করা"
abbreviated,সংক্ষিপ্ত
abbreviating,কাটছাঁট
abc,"বর্ণমালা, কোনো বিষয়ের প্রাথমিক জ্ঞান"
abdicate,সিংহাসন ত্যাগ করা
abdication,"পরিত্যাগ, পদত্যাগ, প্রত্যাখ্যান, অস্বীকার"
abdomen,"পেট, তলপেট"
abdominal,"পেটের, উদর ঘটিত"
abdominal segment,উদরখণ্ডক
abduct,কৌশলে কাউকে অপহরণ করা
abducting,"অপহারক, অপহারী"
abduction,অপহরণ
abeam,জাহাজ বা বিমানের আড়াআড়ি কোনো রেখার উপর অবস্থিত
abed,শয্যায়
aberrance,বিচ্যুতির ঘটনা
aberrant,"বিচ্যুত, বিপথগামী"
aberration,"বিপথগামিতা, সাময়িক স্মৃতিভ্রংশ"
abet,অসৎ কাজে মদত দেওয়া
aid and abet somebody,কারো কুকর্মের সঙ্গে হওয়া
abetment,"বিবাদসৃষ্টির স্বভাব, সহায়তা, সাহায্য, আনুকূল্য, পোষকতা"
abetter,কুকর্মে সাহায্যকারী
abetting,পোষক
abettor,"যোগদানকারী, পোষক"
abeyance,স্থগিতাবস্থা
abhor,গভীর ঘৃণার চোখে দেখা
abide,"থাকা, বাস করা, অবস্থান করা"
abide by,"বিশ্বস্ত থাকা, মানিয়া চলা"
abiding,"স্থায়ী, মানিয়া চলে এমন, কায়েমী"
ability,"যোগ্যতা, ক্ষমতা, সামর্থ্য"
ability to industrialise,1. শিল্পায়ন ক্ষমতা  2. শিল্পায়ন সামর্থ্য
abject,"শোচনীয়, অধম"
abjection,চরম দুর্দশা
abjectly,শোচনীয়ভাবে
abjuration,শপথপূর্বক পরিত্যাগ
abjure,শপথপূর্বক বর্জন করা
ablation,অপসারণ
ablative,অপাদান কারক
ablaut,অপশ্রুতি
ablaze,"জ্বলন্ত, বহ্নিমান, চকচকে"
able,"যোগ্য, সক্ষম, সমর্থ, বিচক্ষণ, গুণী"
able bodied,"সক্ষম, শক্তিশালী"
abloom,"বিকচ, পুষ্পিত, বিকশিত"
ablution,"স্নান বা হাত-পা ধোওয়া, পুণ্যস্নান, আচমন"
ably,যোগ্যতার সঙ্গে
abnegation,"অস্বীকার, নামঁজুরি, প্রত্যাখ্যান"
abnormal,"অদ্ভুত, অনিয়মিত, অস্বাভাবিক"
aboard,"জাহাজ, বিমান, নৌকা প্রভৃতির ওপরে বা মধ্যে"
abode,অধিবাস
abolish,"বাতিল করা, উচ্ছেদ করা"
abolished,"রহিত, লুপ্ত"
abolishment,"বাতিল, রদ"
abolition,"রদ, বাতিল, উচ্ছেদ"
abolition of posts,"পদবিলুপ্তি, পদলোপ"
abolitionist,মৃত্যুদণ্ডবিলোপপন্থী
abominable,"ঘৃণ্য, জঘন্য"
abominate,মনেপ্রাণে ঘৃণা করা
abomination,তীব্র ঘৃণা ও বিরাগ
aboriginal,"আদিম, আদি"
aborigine,"আদিম অধিবাসী, আদিবাসী"
aborigines,আদিম নিবাসী
abort,"গর্ভপাত হওয়া, নিষ্ফল করে দেওয়া"
aborted,বন্ধ্যা - করা
abortion,"গর্ভপাত, ভ্রূণমোচন, বিকৃতগঠন জীব"
abortive,"নিষ্ফল, ব্যর্থ, অপরিণত"
abortive coup,"ব্যর্থ অভ্যুত্থান, নিষ্ফল অভ্যুত্থান"
abortive attempt,"ব্যর্থ চেষ্টা, নিষ্ফল প্রয়াস, ব্যর্থ প্রয়াস"
abortively,"বৃথা, নিষ্ফলতায়"
abound,প্রচুর পরিমানে
abounding,"প্রাচুর্যপূর্ণ, সমৃদ্ধ, আচ্ছন্ন, উচ্ছ্বাসিত"
about,"বিষয়ে, নিকট, প্রায়, ব্যাপৃত, ঘুরিয়া, চতুর্দিকে, ইতস্তত, আশেপাশে, প্রায় কাছাকাছি, আসন্ন, বিপরীত দিকে, ঘুরপাক খাইয়া, বেষ্টন করিয়া, সঁচরমান, নাগাদ, চালু"
above,"ওপরে, অপেক্ষাকৃত বেশি, বাইরে"
above all,সর্বোপরি
above named,একই প্যারাগ্রাফে আগে উল্লেখিত কোন নাম প্রসঙ্গে।
above mentioned,উপরে উল্লেখিত
above par,"অধিমূল্যে, অধিহারে"
above ground,জীবিত
above board,"নিয়ম মেনে, সৎ ভাবে, খোলাখুলি"
abracadabra,যাদুকরের আওড়ানো মন্ত্র
abrade,"ঘষে তুলে ফেলা, উত্যক্ত করা"
abraded,"ঘষা, ঘর্ষিত"
abrasion,ঘর্ষণজনিত ক্ষয়
abrasive,ক্ষয়কারী ঘর্ষক
abreast,পাশাপাশি এবং একই দিকে মুখ করে
abridge,সংক্ষিপ্ত করা
abridged,সংক্ষেপিত
abroad,ব্যাপকভাবে
abrogate,"বিলোপ করা, রদ করা, খারিজ করা"
abrogation,"বিলোপসাধন, রদ, খারিজ"
abrogation of constitution,সংবিধান বাতিল
abrupt,"আকস্মিক, অপ্রত্যাশিত"
abruptly,"হঠাৎ, সহসা, আচমকা, অকস্মাৎ"
abruptness,আকস্মিকতা
abscess,"ফোড়া, স্ফোটক"
abscond,আত্মগোপন করে থাকা
absconder,আত্মগোপনকারী
absconding,পলান
absence,"অনুপস্থিত, কামাই, গরহাজিরি"
absence of attachment,অনাসক্ত
absence of rain,"বৃষ্টির অভাবে, অনাবৃষ্টি"
absence of foresight,অদূরদর্শিতা
absence of possession,"ভোগাভাব, দখলের অভাব, ভক্তিহীনতা"
absence of anger,অক্রোধ
absence of mind,"অন্যমনস্কতা, আনমন, অমনোযোগিতা"
absence of desire,অনাকাঙ্ক্ষা
absence of illness,"অনাময়, অনাময়"
absent,"অনুপস্থিত, গরহাজির"
absent minded,সংস্কারমুক্ত অনুপস্থিত
absent mindedness,অনুপস্থিত নজর
absentee,অনুপস্থিত ব্যক্তি
absentee list,"শহরবাসী তালিকা, অনুপস্থিতের তালিকা, গরহাজিরের তালিকা"
absentee landlord,"শহরবাসী বাড়িওয়ালা, শহরবাসী বা প্রবাসী জমিদার"
absently,অন্যমনস্কভাবে
absinth,"সোমরাজ গাছ বা তার নির্যাস, সোমরস"
absinthe,সোমরস
absolute,"অবাধ, চরম, পরম, অকাট্য"
absoluteness,নিরঙ্কুশ্তা
absolution,পাপক্ষলন
absolutism,"স্বৈরতন্ত্র, স্বৈরশাসননীতি"
absolutist,স্বৈরতন্ত্রের প্রবক্তা
absolve,"বাধ্যবাধকতা থেকে মুক্তি, বিচারে নির্দোষ ঘোষণা করা"
absorb,"শুষে নেওয়া, গভীরভাবে মগ্ন হওয়া"
absorbability,শোষণপ্রবণতা
absorbable,শোষণযোগ্য
absorbed,"শোষিত, নিমগ্ন, নিবিষ্ট, নিমজ্জিত, খাত্তয়া, বিশোষিত, একমনা, অভিনিবিষ্ট, নিরত, নিলীন, অনন্য, বুঁদ"
absorbing,"বিশোষণ, বিশোষক, শোষক"
absorption,"শোষণক্রিয়া, বিশোষণ"
absorption of heat,"তাপ শোষণ, তাপ গ্রহণ"
absorptive,বিশোষক
abstain,"নিজেকে নিবৃত্ত করা, বিরত থাকা"
abstained,উপরত
abstainer,মাদকবর্জনকারী
abstaining,বিরত
abstemious,"সংযমী, মিতাহারী"
abstemiousness,নিয়তাহর
abstention,"ক্ষান্তি, নিবৃত্তি"
abstinence,উপরতি
abstinence from food,অনশন
abstinent,"পরিহারক, মিতাচারী, উপরত"
abstract,"বস্তুনিরপেক্ষ, অমূর্ত, বিমূর্ত"
abstract geometry,"সারাংশ জ্যামিতি, বিমূর্ত জ্যামিতি"
abstract number,"বিমূর্ত সংখ্যা, বিমূর্ত রাশি"
abstract budget,"সারাংশ বাজেট, সংক্ষিপ্ত বাজেট"
abstract noun,"বস্তুবাচক নাম, গুণবাচক বিশেষ্য"
abstract knowledge,বিমূর্ত জ্ঞান
abstract art,"অমূর্ত চিত্রকলা, বিমূর্ত শিল্প, বিমূর্ত কলা"
abstract register,সার নিবন্ধ
abstract accounts,"সারাংশ অ্যাকাউন্ট, সংক্ষিপ্ত হিসাব"
abstract sheet,সারপত্র
abstract slip,সারপত্রী
abstracted,"আনমনা, অন্যমনস্ক"
abstraction,"অপসারণ, অপহরণ, অন্যমনস্ক অবস্থা"
abstractive,বিমূর্ত হত্তয়া
abstruse,"দুর্বোধ্য, দুর্জ্ঞেয়"
abstruseness,নিগূঢ়তা
absurd,"অযৌক্তিক, অর্থহীন, অসম্ভব"
absurdity,"অর্থহীনতা, হাস্যকরতা, অসম্ভাবনা, শশবিষান, অদ্ভুততা"
abundance,"বহুলতা, অজস্রতা, প্রাচুর্য, অর্থপ্রাচুর্য"
abundant,"প্রচুর, প্রভূত"
abuse,"অপব্যবহার করা, অবমাননা করা"
abusive,"অভদ্র, ইতর"
abusive words,"কুকথা, কদুক্তি"
abusive language,"অবমাননাকর ভাষা, অকথন"
abut,সীমানার সঙ্গে সংলগ্ন বা লাগোয়া হওয়া
abutter,সংলগ্ন সম্পত্তির মালিক
abysmal,অতলস্পর্শী
abyss,অতলস্পর্শী গহ্বর
acacia,একরকম আঠা-নিঃসারী গাছ
acacia catechu,খয়ের গাছ
acacia nilotica,বাবলা
acacia arabica,বাবলা গাছ
acacia auriculiformis,আকাশমণি
academic,"অধ্যয়ন বিষয়ক, পাণ্ডিত্যপূর্ণ"
academic council,"একাডেমিক কাউন্সিল, শিক্ষা সংসদ"
academic session,"একাডেমিক সেশন, শিক্ষাবর্ষ"
academic qualification,"শিক্ষাগত যোগ্যতা, বিদ্যাগত যোগ্যতা"
academic year,"শিক্ষাবর্ষ, অধিবিদ্যা বৎসর"
academician,"শিক্ষায়তনের সভ্য, বিশ্ববিদ্যালয়ের সভ্য, সংস্কৃতি - পরিষদের সভ্য"
academy,"উচ্চশিক্ষায়তন, পণ্ডিতসভা"
academy for rural development,"পল্লী উন্নয়ন একাডেমী, পল্লি-উন্নয়ন একাডেমী"
accede,"সম্মত হওয়া, অঙ্গীভূত হওয়া"
accelerando,ত্বরক
accelerate,উত্তরোত্তর গতি বৃদ্ধি করা
accelerated,"দ্রুততর, গতিবৃদ্ধ, দ্রুতগত"
accelerating,ত্বরক
accelerator,ত্বরক
accent,"স্বরাঘাত, শ্বাসাঘাত"
accented,প্রস্বরিত
accents,কথা
accentuate,আরো জোরালো করা
accentuation,জোর দেওয়া
accept,"গ্রহণ করা, সত্য বলে স্বীকার করা"
accept punishment,"দণ্ডগ্রহণ, দণ্ডগ্রহণ করা"
accept bribe,"ঘুষ গ্রহণ, টাকা গ্রহন করে বৈধ/অবৈধ সুবিধা দেওয়া"
acceptability,গ্রহণযোগ্যতা
acceptation,স্বীকৃতি
accepted,"গৃহীত, প্রচলিত, সাধারণ্যে স্বীকৃত, সাধারণ্যে গৃহীত, সম্মত, পরিগৃহীত, অঙ্গীকৃত, প্রতিজ্ঞাত, মঁজুর, অনুমত, নীত, উত্পাত্ত, কৃত"
accepting,আদান
access,"কোনো জায়গায় পৌঁছানোর রাস্তা, অধিগম্যতা"
access methods,"ব্যবহারের পদ্ধতি, প্রবেশাধিকার পাওয়ার পদ্ধতিসমূহ"
accessary,"অতিরিক্ত, আনুষঙ্গিক, সহায়ক, সহযোগী, অন্তর্ভুক্ত, আনুষঙ্গিক বস্তু, আনুষঙ্গিকঅংশ, অতিরিক্ত বস্তু, আনুষঙ্গিক বিষয়, অতিরিক্ত অংশ, উপাঙ্গ, সহায়ক বস্তু, দুষ্কর্মে সাহায্যদায়ক ব্যক্তি, দুষ্কর্মে সাহায্যদায়ক বস্তু"
accessibility,"অভিগম্যতা, প্রবেশযোগ্যতা"
accession,"উত্তীর্ণ হওয়া, সাবালক হওয়া"
accession register,"যোজন রেজিস্টার, সংযোজন পঞ্জি"
accession number,যোজন সংখ্যা
accession list,আগমতালিকা
accession to treaty,চুক্তিতে যোগদান
accession of sovereign,"রাজপদ, রাজপদ প্রাপ্তি"
accession to office,পদপ্রাপ্তি
accession of sovereignty,"সার্বভৌমত্বের যোজন, রাজাধিকার প্রাপ্তি"
accessorial,"অনুপূরক, অতিরিক্ত, বাড়তি"
accessories,"জিনিসপত্র, আনুষঙ্গিক উপকরণ, মালপত্র"
accessory before the fact,"আসলে আগে আনুষঙ্গিক, কুকর্মের পরিকল্পনায় সাহায্যকারী"
accessory after the fact,"আসলে পরে আনুষঙ্গিক, কুকর্ম গোপন করার কাজে সাহায্যকারী"
accessory member,উপাঙ্গ
accessory minerals,"আনুষঙ্গিক খনিজ, অতিরিক্ত খনিজ"
accessory,"আনুষঙ্গিক, টুকিটাকি সাজসরঞ্জাম"
accidence,শব্দরূপতত্ত্ব
accident,"আকস্মিক ঘটনা, দুর্ঘটনা, আপতন"
accident insurance,দুর্ঘটনা বীমা/বিমা
accidental,"আপতিক, আকস্মিক"
accidental hurt,অপঘাত
accidental umemployment,আপতিক কর্মহীনতা
accidental injury,অপঘাত
accidentally,"ঘটনাক্রমে, দৈবাৎ, অকস্মাৎ"
acclaim,"অভিনন্দিত করা, অভিবন্দনা"
acclamation,"প্রশংসা, তারিফ"
acclimate,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান
acclimation,আবহাত্তয়ায় অভ্যস্তকরণ
acclimatization,অভিযোজন
acclimatize,"নতুন পরিস্থিতির সঙ্গে মানিয়ে নেওয়া, অভিযোজিত করা"
acclimatized,"ধাতস্থ, রপ্ত"
acclivity,চড়াই
accolade,"প্রশংসা, সাধুবাদ"
accommodate,স্থান সংকুলান হওয়া
accommodating,উপকারপরায়ণ
accommodating party,"অমায়িক পার্টি, সাহায্যকারী পক্ষ"
accommodation,"মানিয়ে নেওয়া, সমঝোতা"
accommodation paper,উপযোজনপত্র
accommodation bill,"বাসস্থান বিল, উপযোজক হুন্ডি"
accompanied,"অনুষঙ্গী, সংসর্গী"
accompaniment,আনুষঙ্গিক কোনো কিছু
accompanist,সংগতকারী
accompany,"সহযোগী হওয়া, সংগত করা"
accompanying,"সহগামী, সহগমনকারী, সহচর, অনুচর, সহবর্তমান, অনুবর্তী, সহচারী, আনুষঙ্গিক, দোসর, সঙ্গত, সহগমন, অনুবর্তিতা"
accompli,সম্পন্ন
accomplice,"অনুচর, সাকরেদ"
accomplice evidence,"যোগদানকারী প্রমাণ, অনুচর-সাক্ষ্য"
accomplish,"উদ্যাপন করা, অর্জন করা, প্রতিপাদন করা, সম্পূর্ণ করা, সম্পাদন করা, খতম করা, সিদ্ধ করা, সাধা, সারা, সাধন করা, মিটান, নিষ্পত্তি করা, মেটান, অভীষ্টলাভ করা"
accomplishable,প্রতিপাদ্য
accomplished,"সম্পন্ন, মার্জিত, কারকিত, প্রতিপাদিত, সংক্ষিত, সাংস্কৃতিক গুণসম্পন্ন, নির্বর্তিত, সম্পাদিত, নিষ্পন্ন, উদ্যাপিত, সিদ্ধ"
accord,স্বেচ্ছায়
accordance,"সামঞ্জস্য, সংগতি, মিল"
according,"অনুযায়ী, অনুযাত, অনুগ"
accordion,অ্যাকর্ডিয়ন
accost,খদ্দের ডাকা
accosting,সম্ভাষণ
account,"মনে করা, বিবেচনা করা"
accountancy,হিসাবরক্ষকের পেশা
accountant,হিসাবরক্ষণ
assistant accountant general,সহমহাহিসাবরক্ষক
accountant general,হিসাব নিরীক্ষক ও নিয়ন্ত্রক
accounting,হিসাবরক্ষণ
accounts,গণিতক
accredit,আরোপ করা
accredited,"আস্থাভাজন বলিয়া পরিগণিত, অধিকারীরূপে স্বীকৃত, সক্ষম বলিয়া পরিগণিত, সাধারণ্যে গৃহীত, নিসৃষ্ঠ, প্রচলিত, জমার হিসাবে সংযোজিত"
accretion,পরিবৃদ্ধি
accretive,ক্রমবদ্র্ধিত
accrue,বর্ধিত
accrued,জমা
accumulate,"জমানো, একত্রিত করা"
accumulated,"জমা, জমান, পুঁজিত, উপচিত"
accumulating,সঁচায়ক
accumulation,"সঞ্চয়, সংগ্রহ"
accumulation of capital,মূলধন সংগ্রহ
accumulative,"সঞ্চয়জাত, সঞ্চয়ী"
accumulator,সঞ্চয়কারী
accuracy,"যাথাযথ্য, অভ্রান্ততা"
accurate,"যথাযথ, নিখুঁত, অভ্রান্ত"
accurately,"সঠিক, যথাযথভাবে, সতি্য, ঠিক, সত্য - সত্যই"
accursed,"শাপগ্রস্ত, হতভাগ্য, অভিশপ্ত"
accusation,"অভিযোগ, নালিশ"
accusative,কর্মকারক
accuse,"অভিযুক্ত করা, নালিশ করা"
accused,"অভিযুক্ত, অভিযোগমুক্ত, অভিযোগে বর্ণিত, অনুযু়ক্ত, আসামি, অভিযুক্ত ব্যক্তি, আসামী"
accuser,"অভিযোক্তা, অনুযোক্তা, ফরিয়াদী"
accusingly,অভিযোগের সুরে
accustom,অভ্যস্ত করানো
accustomed,"অভ্যস্ত, প্রচলিত, রপ্ত, অভ্যাসগত, বৃত্ত, ধাতস্থ, পোক্ত"
ace,"টেক্কা, তাসের টেক্কা, পাশার পোয়া, সামান্যতম পরিমাণ, সেরা ব্যক্তি, কার্মুক"
acerbity,"অম্লতা, কটু স্বাদ, তিক্ততা"
acetic,ভিনিগার বা সিরকা সম্বন্ধীয়
acetic acid,"এসিটিক এসিড, ধান্যাম্ল, সিরকাম্ন"
acetylene,একরকম বর্ণহীন হাইড্রোকার্বন গ্যাস
ache,একটানা ব্যথা
achievable,"সাধনযোগ্য, অর্জনীয়"
achieve,"সাধন করা, অর্জন করা"
achilles,ট্রয় যুদ্ধে গ্রীক পক্ষের শ্রেষ্ঠবীর
aching,ধরা
achromatic,"বর্ণবিকারহীন, অবার্ণ"
achromatically,বর্ণবিকারমুক্তভাবে
achromaticity,"অবার্ণতা, বর্ণবিকারহীনতা"
acid,"অম্ল, অ্যাসিড"
amino acid,অ্যামিনো অ্যাসিড
acid drops,"অ্যাসিড ঝরিয়া, টক-মিস্টি লজেন্স"
acid test,"অম্ল পরীক্ষা, চরম পরীক্ষা, অ্যাসিড সহযোগে পরীক্ষা"
acknowledge,"স্বীকার করা, মেনে নেওয়া, প্রাপ্তি স্বীকার করা"
acknowledged,স্বীকৃত
acknowledgement,"স্বীকৃতি, স্বীকার, কবুল, স্বীকারোক্তি, মাননা"
acknowledgment,"স্বীকৃতি, মেনে নেওয়া"
acknowledgment due,প্রাপ্তি স্বীকারপত্র
acme,"সর্বোচ্চ মাত্রা, চরম উৎকর্ষ, শিখর, শীর্ষ"
acne,ব্রণ
acolyte,"অনুগত সহকারী, অনুচর, নূতন শিক্ষার্থী"
aconite,একরকমের বিষাক্ত উদ্ভিদ
acorn,ওক গাছের ফল
acoustic,"শ্রবণেন্দ্রিয় সংক্রান্ত, ধ্বনি সম্বন্ধীয়"
acoustical,ধ্বনিতাত্বিক
acquaint,"কোনো কিছু জানানো, কোনো কিছু সম্পর্কে অবহিত করা"
acquaintance,"পরিচয়, জানাশোনা, সুপরিচিত ব্যক্তি, অবগতি, পরিচিত ব্যক্তি, মিশামিশি, চিনাশুনা, চিনাপরিচয়"
acquainted,"পরিচিত, জানা, জ্ঞানী, অবগত, পরিজ্ঞাত, শিক্ষিত, আলাপী, জানাশোনা"
acquiesce,"মৌনভাবে সম্মত হওয়া, বিনা আপত্তিতে মেনে নেওয়া"
acquiescence,"মৌনসন্মতি, নীরব বশ্যতা"
acquirable,অধিগম্য
acquire money,টাকা করা
acquire,"আয়ত্ত করা, অর্জন করা, অধিকার লাভ করা"
acquired,"অর্জিত, লব্ধ, স্বোপার্জিত, উপার্জিত, অধিগত"
acquisition,"নিজের চেষ্টায় অর্জন, স্বোপার্জন, অর্জিত কোনো কিছু"
acquisitive,"অর্জনপ্রয়াসী, অধিকারলিপ্সু"
acquisitive prescription,দীর্ঘভোগ স্বত্বাধিকার
acquit,"মিটিয়ে দেওয়া, চুক্তিয়ে দেওয়া, ন্যস্ত কর্তব্য সম্পাদন করা, বেকসুর খালাস দেওয়া"
acquitted,খালাসী
acre,"ভূসম্পত্তি, খেত, জমির 4840 বর্গগজ পরিমিত মাপবিশেষ"
acres,জমি
acrid,"উগ্র, কটু, ঝাঁজালো, জ্বালাধরানো"
acridity,"ঝাঁজ, ধার, তীক্ষ্নতা, ঝাঁঝ, তীব্রতা, টক"
acrimony,"স্বভারের রুক্ষতা, মেজাজের রুক্ষতা, তীব্র বিদ্বেষভরে আক্রমণ করা"
acrobat,"ব্যায়ামকুশলী, রজ্জুনর্তক"
acrobatic,"দড়াবাজি সম্বন্ধীয়, মত পরিবর্তন করে এমন, মল্লক্রীড়া সম্বন্ধীয়, ঘনঘন দলপরিবর্তন করে এমন"
acrobatics,"দড়াবাজি, মল্লক্রীড়া, দড়াবাজি শিল্প, দক্ষ বিমানচালনা"
acronym,বিভিন্ন শব্দের আদ্যক্ষর দিয়ে গঠিত সংক্ষিপ্ত নির্দেশক শব্দ
acropolis,"প্রাচীন গ্রীসের নগরদুর্গ, নগরের কেন্দ্রস্থ উচ্চভূমি"
across,"আড়াআড়ি, চওড়া-চওড়ি, এপার থেকে ওপার"
acrostic,ছন্দোবদ্ধ হেঁয়ালি
acrylic,এক্রাইলিক
act,"কর্ম, ক্রিয়া, কাজ, কর্মানুষ্ঠান, নাটকের অঙ্গ, ভান, আচরণ করা"
act of grace,"রেয়াতি আইনের, অপ্রার্থিত করুণা, অযাচিত অনুগ্রহ"
acted,অভিনীত
acting,"সাময়িকভাবে অন্যের স্থলাভিষিক্ত, সাধন, সম্পাদন"
acting improperly,"অন্যায়াচারী, অন্যায়াচারী"
acting appointment,সাময়িক নিয়োগ
acting arrangement,কর্মব্যবস্থা
acting unjustly,অন্যায়াচারী
acting president,ভারপ্রাপ্ত সভাপতি
actinic,বিকারক
actinic rays,বিকারক রশ্মি
actinism,বিকারক ধর্ম
action,"কর্মপ্রক্রিয়া, কাজ, নিষ্পাদিত কাজ, নাট্যক্রিয়া, চলনপদ্ধতি, মামলা, যুদ্ধ"
activate,"সক্রিয় করা, উদ্যত করা"
activation,"সক্রিয়করণ, তৎপরতা"
active,"সক্রিয়, ফলপ্রদ, কার্যকর, কর্মঠ, ক্ষিপ্র"
active trade balance,"সক্রিয় বাণিজ্য ভারসাম্য, সক্রিয় বাণিজ্য-উদ্ধৃত"
active partner,"সক্রিয় অংশীদার, সক্রিয় অংশী"
active principle,"ওষুধের মিশ্রনে যে ক্যামিকেলটি মূলত কাজ করে, পালনিয় মূল নিয়ম"
active service,"সক্রিয় পরিষেবা, কর্মরত অবস্থা"
active debt,"সক্রিয় ঋণ, সক্রিয ঋণ"
active volcano,"সক্রিয় আগ্নেয়গিরি, জীবন্ত আগ্নেয়গিরি"
active balance,"সক্রিয় ভারসাম্য, সক্রিয় তহবিল"
active voice,কর্তৃবাচ্য
active stock,"সক্রিয় স্টক, মজুদ মাল, মজুদ সম্ভার"
activist,"সক্রিয়তাবাদী ব্যক্তি, সক্রিয় কর্মী"
activities,"ক্রিয়াকলাপ, ক্রিয়াকাণ্ড, কীর্তিকলাপ, চরিত্র"
activity,"কাজকর্ম, কার্যকলাপ, কর্মকাণ্ড"
actor,অভিনেতা
actress,অভিনেত্রী
actual,"আসল, বাস্তবিক, বর্তমান"
actual loss,"প্রকৃত ক্ষতির, প্রকৃত ক্ষতি"
actual breach of contract,প্রকৃত চুক্তিভঙ্গ
actual delivery,"প্রকৃত বিতরণ, প্রকৃত অর্পণ"
actual money,"প্রকৃত অর্থ, বাস্তব মুদ্রা"
actual total loss,"প্রকৃত মোট ক্ষতি, প্রকৃত সামগ্রিক ক্ষতি"
actual grant,"প্রকৃত অনুদান, আসল অনুদান"
actual investment,"প্রকৃত বিনিয়োগ, যথার্থ বিনিয়োগ, বাস্তব বিনিয়োগ"
actuarial,বিমার
actuary,"বিমা - পরতালক, বিমা - গাণনিক, বিমা - সংক্রন্ত হিসাবে দক্ষ ব্যক্তি"
actuate,"কর্মপ্রেরণা দেত্তয়া, সক্রিয় করা"
acuity,উপলব্ধির তীক্ষ্ণতা
acumen,"সূক্ষ্মদৃষ্টি, অন্তর্দৃষ্টি, সূক্ষ্মদর্শিতা"
acupuncture,আকুপাংচার
acute,"ধারালো, ছুঁচোলো, তীব্র, প্রচণ্ড, দারুণ"
acute angled,সূক্ষ্মকোণী
acute rheumatism,"বাতজ্বর, বাতের জ্বর"
acute angle,"সূক্ষ্মকোণ, বিষম কোণ, সূক্ষ্মকোণ"
acuteness,সূক্ষ্মদর্শিতা
ad,বিজ্ঞাপন
argumentum ad hoc,এইজন্য বা এই উদ্দেশ্যে
ad hoc committee,তদর্থক সমিতি
ad libitum,1. ইচ্ছামতো 2. মর্জিমাফিক
ad baculum,1. তদর্থক 2. এই উদ্দেশ্যে গঠিত
ad measure,"বিজ্ঞাপনটি পরিমাপ, পরিমাপ করা"
ad referendum,"বিজ্ঞাপনটি গণভোট, অনুমোদন সাপেক্ষ"
ad infinitum,1. সীমাহীনভাবে 2. অনন্তকাল ধরে
ad valorem duty,মূল্যানুসারী শুল্ক
ad measurement,"বিজ্ঞাপনটি পরিমাপ, পরিমাপন, পরিমাপ"
ad valorem,1. মূল্যানুসারে 2. মূল্যানুসারী
adage,"প্রবাদবাক্য, প্রবচন"
adagio,"ধীরে, ললিত ভঙ্গিতে, মন্থর, বিলম্বিত"
adam,"আদম, আদি মানব, প্রথম সৃষ্ট পুরুষ"
adamant,"হীরা বা ঐ জাতীয় অতি কঠিন বস্তু, কঠোর, অনড়, অনমনীয়"
adamantly,"কঠোরভাবে, অনমনীয়রূপে"
